first_name,last_name,email,phone
Bud,Howell,wrong-email,243-814-0402
Werner,,Lavonne_Yundt47@gmail.com,949-307-1267
Christelle,Schmitt,Esteban_Schaden@yahoo.com,wrong-number
Leatha,Metz,Lucius.Champlin@yahoo.com,462-685-3318
Myrna,Johnston,Brent_Harvey@gmail.com,324-209-3723
Dayne,Toy,wrong-email,460-743-4758
Brianne,Hills,Muhammad_Senger93@gmail.com,848-672-6437
Karina,Marks,Sierra_Stokes@hotmail.com,413-698-0299
Janis,,Emil.Witting@yahoo.com,422-516-1013
,Lakin,Tiana_Lubowitz65@hotmail.com,wrong-number
